

+--------------------------+----------+--------+-------+---------------------+--------------------------------------------------------+-------+---------+--------+---------+----------------------------------------------------+
| Name                     | Status   |   Time |   Sum | Start               | tag                                                    | msg   | Node    | User   | OS      | Version                                            |
|--------------------------+----------+--------+-------+---------------------+--------------------------------------------------------+-------+---------+--------+---------+----------------------------------------------------|
| google-hello-0-cli       | ok       |  2.266 | 2.266 | 2022-10-19 00:41:42 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-1-cli       | ok       |  1.821 | 1.821 | 2022-10-19 00:41:45 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-2-cli       | ok       |  1.68  | 1.68  | 2022-10-19 00:41:46 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-3-cli       | ok       |  1.697 | 1.697 | 2022-10-19 00:41:48 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-4-cli       | ok       |  1.761 | 1.761 | 2022-10-19 00:41:50 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-5-cli       | ok       |  1.749 | 1.749 | 2022-10-19 00:41:52 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-6-cli       | ok       |  1.653 | 1.653 | 2022-10-19 00:41:53 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-7-cli       | ok       |  1.686 | 1.686 | 2022-10-19 00:41:55 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-8-cli       | ok       |  1.745 | 1.745 | 2022-10-19 00:41:57 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-9-cli       | ok       |  1.749 | 1.749 | 2022-10-19 00:41:58 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-10-cli      | ok       |  1.803 | 1.803 | 2022-10-19 00:42:00 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-11-cli      | ok       |  1.661 | 1.661 | 2022-10-19 00:42:02 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-12-cli      | ok       |  1.693 | 1.693 | 2022-10-19 00:42:04 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-13-cli      | ok       |  1.688 | 1.688 | 2022-10-19 00:42:05 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-14-cli      | ok       |  1.664 | 1.664 | 2022-10-19 00:42:07 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-15-cli      | ok       |  1.643 | 1.643 | 2022-10-19 00:42:09 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-16-cli      | ok       |  1.746 | 1.746 | 2022-10-19 00:42:10 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-17-cli      | ok       |  1.679 | 1.679 | 2022-10-19 00:42:12 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-18-cli      | ok       |  1.644 | 1.644 | 2022-10-19 00:42:14 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-19-cli      | ok       |  1.729 | 1.729 | 2022-10-19 00:42:15 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-0-cli          | ok       |  1.346 | 1.346 | 2022-10-19 00:42:17 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-1-cli          | ok       |  1.331 | 1.331 | 2022-10-19 00:42:18 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-2-cli          | ok       |  1.359 | 1.359 | 2022-10-19 00:42:20 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-3-cli          | ok       |  1.354 | 1.354 | 2022-10-19 00:42:21 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-4-cli          | ok       |  1.344 | 1.344 | 2022-10-19 00:42:22 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-5-cli          | ok       |  1.365 | 1.365 | 2022-10-19 00:42:24 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-6-cli          | ok       |  1.389 | 1.389 | 2022-10-19 00:42:25 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-7-cli          | ok       |  1.376 | 1.376 | 2022-10-19 00:42:27 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-8-cli          | ok       |  1.369 | 1.369 | 2022-10-19 00:42:28 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-9-cli          | ok       |  1.396 | 1.396 | 2022-10-19 00:42:29 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-10-cli         | ok       |  1.345 | 1.345 | 2022-10-19 00:42:31 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-11-cli         | ok       |  1.409 | 1.409 | 2022-10-19 00:42:32 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-12-cli         | ok       |  1.371 | 1.371 | 2022-10-19 00:42:33 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-13-cli         | ok       |  1.349 | 1.349 | 2022-10-19 00:42:35 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-14-cli         | ok       |  1.368 | 1.368 | 2022-10-19 00:42:36 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-15-cli         | ok       |  1.297 | 1.297 | 2022-10-19 00:42:38 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-16-cli         | ok       |  1.387 | 1.387 | 2022-10-19 00:42:39 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-17-cli         | ok       |  1.376 | 1.376 | 2022-10-19 00:42:40 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-18-cli         | ok       |  1.347 | 1.347 | 2022-10-19 00:42:42 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| aws-hello-19-cli         | ok       |  1.52  | 1.52  | 2022-10-19 00:42:43 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-0-cli        | ok       |  1.335 | 1.335 | 2022-10-19 00:42:44 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-1-cli        | ok       |  1.162 | 1.162 | 2022-10-19 00:42:46 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-2-cli        | ok       |  1.12  | 1.12  | 2022-10-19 00:42:47 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-3-cli        | ok       |  1.285 | 1.285 | 2022-10-19 00:42:48 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-4-cli        | ok       |  1.163 | 1.163 | 2022-10-19 00:42:49 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-5-cli        | ok       |  1.199 | 1.199 | 2022-10-19 00:42:51 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-6-cli        | ok       |  1.191 | 1.191 | 2022-10-19 00:42:52 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-7-cli        | ok       |  1.16  | 1.16  | 2022-10-19 00:42:53 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-8-cli        | ok       |  1.199 | 1.199 | 2022-10-19 00:42:54 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-9-cli        | ok       |  1.234 | 1.234 | 2022-10-19 00:42:55 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-10-cli       | ok       |  1.221 | 1.221 | 2022-10-19 00:42:57 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-11-cli       | ok       |  1.217 | 1.217 | 2022-10-19 00:42:58 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-12-cli       | ok       |  1.198 | 1.198 | 2022-10-19 00:42:59 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-13-cli       | ok       |  4.17  | 4.17  | 2022-10-19 00:43:00 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-14-cli       | ok       |  1.344 | 1.344 | 2022-10-19 00:43:04 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-15-cli       | ok       |  1.435 | 1.435 | 2022-10-19 00:43:06 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-16-cli       | ok       |  1.151 | 1.151 | 2022-10-19 00:43:07 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-17-cli       | ok       |  1.19  | 1.19  | 2022-10-19 00:43:08 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-18-cli       | ok       |  1.182 | 1.182 | 2022-10-19 00:43:09 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| azure-hello-19-cli       | ok       |  1.156 | 1.156 | 2022-10-19 00:43:11 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-0-api       | ok       |  0.374 | 0.374 | 2022-10-19 00:43:12 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| translate                | ok       |  0.276 | 9.004 | 2022-10-19 00:43:21 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-1-api       | ok       |  0.088 | 0.088 | 2022-10-19 00:43:13 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-2-api       | ok       |  0.089 | 0.089 | 2022-10-19 00:43:13 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-3-api       | ok       |  0.078 | 0.078 | 2022-10-19 00:43:13 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-4-api       | ok       |  0.081 | 0.081 | 2022-10-19 00:43:13 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
| google-hello-5-api       | ok       |  0.079 | 0.079 | 2022-10-19 00:43:13 | {'node': 'windows', 'user': 'gregor', 'text': 'hello'} |       | windows | gregor | Windows | ('10', '10.0.19044', 'SP0', 'Multiprocessor Free') |
